============================================================
YaTC Fine-tuning
============================================================
Start time: 2026-01-15 18:28:23
Data path: /root/autodl-tmp/YaTc/data/vpn_top1000_split
Output dir: /root/YaTC/output/vpn_top1000
Device: cuda
Data format: NPZ
Log file: /root/YaTC/output/vpn_top1000/finetune_20260115_182823.log

Dataset:
  Num classes:   1000
  Train samples: 9922000
  Val samples:   1239853
  Test samples:  1241147

Training Configuration:
  Batch size:      64
  Learning rate:   0.002
  Weight decay:    0.05
  Epochs:          200
  Warmup epochs:   5
  Layer decay:     0.65
  Drop path rate:  0.1
  Label smoothing: 0.1
============================================================
Loaded pre-trained weights from: /root/YaTC/checkpoints/pretrained.pth
Model parameters: 2,050,984

Starting training for 200 epochs...
------------------------------------------------------------
Epoch   1 | Train Loss: 6.9102 | Train Acc: 0.0009 | Val Acc: 0.0005 | Val F1: 0.0000 *
Epoch   2 | Train Loss: 2.9184 | Train Acc: 0.3747 | Val Acc: 0.4923 | Val F1: 0.3874 *
Epoch   3 | Train Loss: 2.5981 | Train Acc: 0.4510 | Val Acc: 0.4905 | Val F1: 0.3967
Epoch   4 | Train Loss: 2.5600 | Train Acc: 0.4591 | Val Acc: 0.4956 | Val F1: 0.3965 *
Epoch   5 | Train Loss: 2.5534 | Train Acc: 0.4605 | Val Acc: 0.4565 | Val F1: 0.3526
Epoch   6 | Train Loss: 2.5540 | Train Acc: 0.4602 | Val Acc: 0.4878 | Val F1: 0.3815
Epoch   7 | Train Loss: 2.5203 | Train Acc: 0.4680 | Val Acc: 0.4968 | Val F1: 0.4007 *
Epoch   8 | Train Loss: 2.5028 | Train Acc: 0.4721 | Val Acc: 0.4923 | Val F1: 0.3937
Epoch   9 | Train Loss: 2.4907 | Train Acc: 0.4748 | Val Acc: 0.4913 | Val F1: 0.3867
Epoch  10 | Train Loss: 2.4815 | Train Acc: 0.4767 | Val Acc: 0.5025 | Val F1: 0.4055 *
Epoch  11 | Train Loss: 2.4755 | Train Acc: 0.4779 | Val Acc: 0.4895 | Val F1: 0.3901
Epoch  12 | Train Loss: 2.4695 | Train Acc: 0.4792 | Val Acc: 0.4947 | Val F1: 0.3948
Epoch  13 | Train Loss: 2.4625 | Train Acc: 0.4805 | Val Acc: 0.4973 | Val F1: 0.3991
Epoch  14 | Train Loss: 2.4574 | Train Acc: 0.4818 | Val Acc: 0.4901 | Val F1: 0.3940
Epoch  15 | Train Loss: 2.4526 | Train Acc: 0.4830 | Val Acc: 0.5014 | Val F1: 0.4025
Epoch  16 | Train Loss: 2.4491 | Train Acc: 0.4836 | Val Acc: 0.4975 | Val F1: 0.4006
Epoch  17 | Train Loss: 2.4469 | Train Acc: 0.4842 | Val Acc: 0.4882 | Val F1: 0.3908
Epoch  18 | Train Loss: 2.4443 | Train Acc: 0.4846 | Val Acc: 0.5044 | Val F1: 0.4101 *
Epoch  19 | Train Loss: 2.4424 | Train Acc: 0.4848 | Val Acc: 0.5052 | Val F1: 0.4027 *
Epoch  20 | Train Loss: 2.4406 | Train Acc: 0.4855 | Val Acc: 0.4996 | Val F1: 0.4088
Epoch  21 | Train Loss: 2.4384 | Train Acc: 0.4857 | Val Acc: 0.5070 | Val F1: 0.4123 *
Epoch  22 | Train Loss: 2.4372 | Train Acc: 0.4861 | Val Acc: 0.4893 | Val F1: 0.3910
Epoch  23 | Train Loss: 2.4355 | Train Acc: 0.4865 | Val Acc: 0.5000 | Val F1: 0.4020
Epoch  24 | Train Loss: 2.4337 | Train Acc: 0.4870 | Val Acc: 0.4984 | Val F1: 0.4065
Epoch  25 | Train Loss: 2.4331 | Train Acc: 0.4870 | Val Acc: 0.4926 | Val F1: 0.3969
Epoch  26 | Train Loss: 2.4318 | Train Acc: 0.4873 | Val Acc: 0.4980 | Val F1: 0.4067
Epoch  27 | Train Loss: 2.4309 | Train Acc: 0.4875 | Val Acc: 0.5050 | Val F1: 0.4094
Epoch  28 | Train Loss: 2.4291 | Train Acc: 0.4881 | Val Acc: 0.5094 | Val F1: 0.4163 *
Epoch  29 | Train Loss: 2.4277 | Train Acc: 0.4884 | Val Acc: 0.5090 | Val F1: 0.4107
Epoch  30 | Train Loss: 2.4282 | Train Acc: 0.4883 | Val Acc: 0.4965 | Val F1: 0.4014
Epoch  31 | Train Loss: 2.4257 | Train Acc: 0.4890 | Val Acc: 0.5069 | Val F1: 0.4094
Epoch  32 | Train Loss: 2.4234 | Train Acc: 0.4898 | Val Acc: 0.5033 | Val F1: 0.4056
Epoch  33 | Train Loss: 2.4219 | Train Acc: 0.4901 | Val Acc: 0.5111 | Val F1: 0.4141 *
Epoch  34 | Train Loss: 2.4209 | Train Acc: 0.4904 | Val Acc: 0.5049 | Val F1: 0.4045
Epoch  35 | Train Loss: 2.4189 | Train Acc: 0.4908 | Val Acc: 0.5099 | Val F1: 0.4108
Epoch  36 | Train Loss: 2.4177 | Train Acc: 0.4912 | Val Acc: 0.5020 | Val F1: 0.4094
Epoch  37 | Train Loss: 2.4161 | Train Acc: 0.4915 | Val Acc: 0.5026 | Val F1: 0.4022
Epoch  38 | Train Loss: 2.4143 | Train Acc: 0.4921 | Val Acc: 0.5059 | Val F1: 0.4113
Epoch  39 | Train Loss: 2.4130 | Train Acc: 0.4923 | Val Acc: 0.5039 | Val F1: 0.4103
Epoch  40 | Train Loss: 2.4115 | Train Acc: 0.4928 | Val Acc: 0.5086 | Val F1: 0.4130
Epoch  41 | Train Loss: 2.4095 | Train Acc: 0.4932 | Val Acc: 0.5101 | Val F1: 0.4139
Epoch  42 | Train Loss: 2.4072 | Train Acc: 0.4937 | Val Acc: 0.5085 | Val F1: 0.4185
Epoch  43 | Train Loss: 2.4060 | Train Acc: 0.4939 | Val Acc: 0.5116 | Val F1: 0.4172 *
Epoch  44 | Train Loss: 2.4036 | Train Acc: 0.4946 | Val Acc: 0.5094 | Val F1: 0.4114
Epoch  45 | Train Loss: 2.4022 | Train Acc: 0.4949 | Val Acc: 0.5100 | Val F1: 0.4148
Epoch  46 | Train Loss: 2.4010 | Train Acc: 0.4953 | Val Acc: 0.5137 | Val F1: 0.4188 *
Epoch  47 | Train Loss: 2.3994 | Train Acc: 0.4956 | Val Acc: 0.4946 | Val F1: 0.4004
Epoch  48 | Train Loss: 2.3983 | Train Acc: 0.4960 | Val Acc: 0.5092 | Val F1: 0.4154
Epoch  49 | Train Loss: 2.3968 | Train Acc: 0.4964 | Val Acc: 0.5094 | Val F1: 0.4153
Epoch  50 | Train Loss: 2.3949 | Train Acc: 0.4966 | Val Acc: 0.5047 | Val F1: 0.4067
Epoch  51 | Train Loss: 2.3930 | Train Acc: 0.4974 | Val Acc: 0.5150 | Val F1: 0.4153 *
Epoch  52 | Train Loss: 2.3923 | Train Acc: 0.4975 | Val Acc: 0.5078 | Val F1: 0.4117
Epoch  53 | Train Loss: 2.3905 | Train Acc: 0.4980 | Val Acc: 0.5128 | Val F1: 0.4198
Epoch  54 | Train Loss: 2.3894 | Train Acc: 0.4985 | Val Acc: 0.4988 | Val F1: 0.4042
Epoch  55 | Train Loss: 2.3910 | Train Acc: 0.4981 | Val Acc: 0.5157 | Val F1: 0.4233 *
Epoch  56 | Train Loss: 2.3881 | Train Acc: 0.4987 | Val Acc: 0.5004 | Val F1: 0.4002
Epoch  57 | Train Loss: 2.3867 | Train Acc: 0.4993 | Val Acc: 0.5113 | Val F1: 0.4200
Epoch  58 | Train Loss: 2.3854 | Train Acc: 0.4995 | Val Acc: 0.5172 | Val F1: 0.4234 *
Epoch  59 | Train Loss: 2.3842 | Train Acc: 0.4999 | Val Acc: 0.5154 | Val F1: 0.4222
Epoch  60 | Train Loss: 2.3825 | Train Acc: 0.5002 | Val Acc: 0.5137 | Val F1: 0.4222
Epoch  61 | Train Loss: 2.3804 | Train Acc: 0.5007 | Val Acc: 0.4840 | Val F1: 0.3930
Epoch  62 | Train Loss: 2.3791 | Train Acc: 0.5011 | Val Acc: 0.5105 | Val F1: 0.4166
Epoch  63 | Train Loss: 2.3775 | Train Acc: 0.5016 | Val Acc: 0.5075 | Val F1: 0.4122
Epoch  64 | Train Loss: 2.3760 | Train Acc: 0.5019 | Val Acc: 0.4857 | Val F1: 0.3911
Epoch  65 | Train Loss: 2.3748 | Train Acc: 0.5022 | Val Acc: 0.5101 | Val F1: 0.4173
